center,size,time
"tensor([[[[-1.1258e+00]],

         [[-1.1524e+00]],

         [[-2.5058e-01]],

         [[-4.3388e-01]],

         [[ 8.4871e-01]],

         [[ 6.9201e-01]],

         [[-3.1601e-01]],

         [[-2.1152e+00]],

         [[ 3.2227e-01]],

         [[-1.2633e+00]],

         [[ 3.4998e-01]],

         [[ 3.0813e-01]],

         [[ 1.1984e-01]],

         [[ 1.2377e+00]],

         [[ 1.1168e+00]],

         [[-2.4728e-01]],

         [[-1.3527e+00]],

         [[-1.6959e+00]],

         [[ 5.6665e-01]],

         [[ 7.9351e-01]],

         [[ 5.9884e-01]],

         [[-1.5551e+00]],

         [[-3.4136e-01]],

         [[ 1.8530e+00]],

         [[ 7.5019e-01]],

         [[-5.8550e-01]],

         [[-1.7340e-01]],

         [[ 1.8348e-01]],

         [[ 1.3894e+00]],

         [[ 1.5863e+00]],

         [[ 9.4630e-01]],

         [[-8.4368e-01]],

         [[-6.1358e-01]],

         [[ 3.1593e-02]],

         [[-4.9268e-01]],

         [[ 2.4841e-01]],

         [[ 4.3970e-01]],

         [[ 1.1241e-01]],

         [[ 6.4079e-01]],

         [[ 4.4116e-01]],

         [[-1.0231e-01]],

         [[ 7.9244e-01]],

         [[-2.8967e-01]],

         [[ 5.2507e-02]],

         [[ 5.2286e-01]],

         [[ 2.3022e+00]],

         [[-1.4689e+00]],

         [[-1.5867e+00]],

         [[-6.7309e-01]],

         [[ 8.7283e-01]],

         [[ 1.0554e+00]],

         [[ 1.7784e-01]],

         [[-2.3034e-01]],

         [[-3.9175e-01]],

         [[ 5.4329e-01]],

         [[-3.9516e-01]],

         [[-4.4622e-01]],

         [[ 7.4402e-01]],

         [[ 1.5210e+00]],

         [[ 3.4105e+00]],

         [[-1.5312e+00]],

         [[-1.2341e+00]],

         [[ 1.8197e+00]],

         [[-5.5153e-01]],

         [[-5.6925e-01]],

         [[ 9.1997e-01]],

         [[ 1.1108e+00]],

         [[ 1.2899e+00]],

         [[-1.4782e+00]],

         [[ 2.5672e+00]],

         [[-4.7312e-01]],

         [[ 3.3555e-01]],

         [[-1.6293e+00]],

         [[-5.4974e-01]],

         [[-4.7983e-01]],

         [[-4.9968e-01]],

         [[-1.0670e+00]],

         [[ 1.1149e+00]],

         [[-1.4067e-01]],

         [[ 8.0575e-01]],

         [[-9.3348e-02]],

         [[ 6.8705e-01]],

         [[-8.3832e-01]],

         [[ 8.9182e-04]],

         [[-2.6133e+00]],

         [[-1.6965e+00]],

         [[-2.2824e-01]],

         [[ 2.7995e-01]],

         [[ 7.3246e-02]],

         [[ 1.1133e+00]],

         [[ 2.8227e-01]],

         [[ 4.3423e-01]],

         [[ 4.5694e-01]],

         [[-8.6537e-01]],

         [[ 7.8131e-01]],

         [[-9.2679e-01]],

         [[ 2.0642e-01]],

         [[-3.3345e-01]],

         [[-4.2883e-01]],

         [[ 2.3292e-01]]]])",0.25,546.6902269490001
"tensor([[[[-1.1258e+00]],

         [[-1.1524e+00]],

         [[-2.5058e-01]],

         [[-4.3388e-01]],

         [[ 8.4871e-01]],

         [[ 6.9201e-01]],

         [[-3.1601e-01]],

         [[-2.1152e+00]],

         [[ 3.2227e-01]],

         [[-1.2633e+00]],

         [[ 3.4998e-01]],

         [[ 3.0813e-01]],

         [[ 1.1984e-01]],

         [[ 1.2377e+00]],

         [[ 1.1168e+00]],

         [[-2.4728e-01]],

         [[-1.3527e+00]],

         [[-1.6959e+00]],

         [[ 5.6665e-01]],

         [[ 7.9351e-01]],

         [[ 5.9884e-01]],

         [[-1.5551e+00]],

         [[-3.4136e-01]],

         [[ 1.8530e+00]],

         [[ 7.5019e-01]],

         [[-5.8550e-01]],

         [[-1.7340e-01]],

         [[ 1.8348e-01]],

         [[ 1.3894e+00]],

         [[ 1.5863e+00]],

         [[ 9.4630e-01]],

         [[-8.4368e-01]],

         [[-6.1358e-01]],

         [[ 3.1593e-02]],

         [[-4.9268e-01]],

         [[ 2.4841e-01]],

         [[ 4.3970e-01]],

         [[ 1.1241e-01]],

         [[ 6.4079e-01]],

         [[ 4.4116e-01]],

         [[-1.0231e-01]],

         [[ 7.9244e-01]],

         [[-2.8967e-01]],

         [[ 5.2507e-02]],

         [[ 5.2286e-01]],

         [[ 2.3022e+00]],

         [[-1.4689e+00]],

         [[-1.5867e+00]],

         [[-6.7309e-01]],

         [[ 8.7283e-01]],

         [[ 1.0554e+00]],

         [[ 1.7784e-01]],

         [[-2.3034e-01]],

         [[-3.9175e-01]],

         [[ 5.4329e-01]],

         [[-3.9516e-01]],

         [[-4.4622e-01]],

         [[ 7.4402e-01]],

         [[ 1.5210e+00]],

         [[ 3.4105e+00]],

         [[-1.5312e+00]],

         [[-1.2341e+00]],

         [[ 1.8197e+00]],

         [[-5.5153e-01]],

         [[-5.6925e-01]],

         [[ 9.1997e-01]],

         [[ 1.1108e+00]],

         [[ 1.2899e+00]],

         [[-1.4782e+00]],

         [[ 2.5672e+00]],

         [[-4.7312e-01]],

         [[ 3.3555e-01]],

         [[-1.6293e+00]],

         [[-5.4974e-01]],

         [[-4.7983e-01]],

         [[-4.9968e-01]],

         [[-1.0670e+00]],

         [[ 1.1149e+00]],

         [[-1.4067e-01]],

         [[ 8.0575e-01]],

         [[-9.3348e-02]],

         [[ 6.8705e-01]],

         [[-8.3832e-01]],

         [[ 8.9182e-04]],

         [[-2.6133e+00]],

         [[-1.6965e+00]],

         [[-2.2824e-01]],

         [[ 2.7995e-01]],

         [[ 7.3246e-02]],

         [[ 1.1133e+00]],

         [[ 2.8227e-01]],

         [[ 4.3423e-01]],

         [[ 4.5694e-01]],

         [[-8.6537e-01]],

         [[ 7.8131e-01]],

         [[-9.2679e-01]],

         [[ 2.0642e-01]],

         [[-3.3345e-01]],

         [[-4.2883e-01]],

         [[ 2.3292e-01]]]])",0.5,537.210800331999
"tensor([[[[-1.1258e+00]],

         [[-1.1524e+00]],

         [[-2.5058e-01]],

         [[-4.3388e-01]],

         [[ 8.4871e-01]],

         [[ 6.9201e-01]],

         [[-3.1601e-01]],

         [[-2.1152e+00]],

         [[ 3.2227e-01]],

         [[-1.2633e+00]],

         [[ 3.4998e-01]],

         [[ 3.0813e-01]],

         [[ 1.1984e-01]],

         [[ 1.2377e+00]],

         [[ 1.1168e+00]],

         [[-2.4728e-01]],

         [[-1.3527e+00]],

         [[-1.6959e+00]],

         [[ 5.6665e-01]],

         [[ 7.9351e-01]],

         [[ 5.9884e-01]],

         [[-1.5551e+00]],

         [[-3.4136e-01]],

         [[ 1.8530e+00]],

         [[ 7.5019e-01]],

         [[-5.8550e-01]],

         [[-1.7340e-01]],

         [[ 1.8348e-01]],

         [[ 1.3894e+00]],

         [[ 1.5863e+00]],

         [[ 9.4630e-01]],

         [[-8.4368e-01]],

         [[-6.1358e-01]],

         [[ 3.1593e-02]],

         [[-4.9268e-01]],

         [[ 2.4841e-01]],

         [[ 4.3970e-01]],

         [[ 1.1241e-01]],

         [[ 6.4079e-01]],

         [[ 4.4116e-01]],

         [[-1.0231e-01]],

         [[ 7.9244e-01]],

         [[-2.8967e-01]],

         [[ 5.2507e-02]],

         [[ 5.2286e-01]],

         [[ 2.3022e+00]],

         [[-1.4689e+00]],

         [[-1.5867e+00]],

         [[-6.7309e-01]],

         [[ 8.7283e-01]],

         [[ 1.0554e+00]],

         [[ 1.7784e-01]],

         [[-2.3034e-01]],

         [[-3.9175e-01]],

         [[ 5.4329e-01]],

         [[-3.9516e-01]],

         [[-4.4622e-01]],

         [[ 7.4402e-01]],

         [[ 1.5210e+00]],

         [[ 3.4105e+00]],

         [[-1.5312e+00]],

         [[-1.2341e+00]],

         [[ 1.8197e+00]],

         [[-5.5153e-01]],

         [[-5.6925e-01]],

         [[ 9.1997e-01]],

         [[ 1.1108e+00]],

         [[ 1.2899e+00]],

         [[-1.4782e+00]],

         [[ 2.5672e+00]],

         [[-4.7312e-01]],

         [[ 3.3555e-01]],

         [[-1.6293e+00]],

         [[-5.4974e-01]],

         [[-4.7983e-01]],

         [[-4.9968e-01]],

         [[-1.0670e+00]],

         [[ 1.1149e+00]],

         [[-1.4067e-01]],

         [[ 8.0575e-01]],

         [[-9.3348e-02]],

         [[ 6.8705e-01]],

         [[-8.3832e-01]],

         [[ 8.9182e-04]],

         [[-2.6133e+00]],

         [[-1.6965e+00]],

         [[-2.2824e-01]],

         [[ 2.7995e-01]],

         [[ 7.3246e-02]],

         [[ 1.1133e+00]],

         [[ 2.8227e-01]],

         [[ 4.3423e-01]],

         [[ 4.5694e-01]],

         [[-8.6537e-01]],

         [[ 7.8131e-01]],

         [[-9.2679e-01]],

         [[ 2.0642e-01]],

         [[-3.3345e-01]],

         [[-4.2883e-01]],

         [[ 2.3292e-01]]]])",0.75,524.1549088200009
"tensor([[[[ 0.9625]],

         [[ 0.3492]],

         [[-0.9215]],

         [[-0.0562]],

         [[-0.7015]],

         [[ 1.0367]],

         [[-0.6037]],

         [[-1.2788]],

         [[ 0.1239]],

         [[ 1.1648]],

         [[ 0.9234]],

         [[ 1.3873]],

         [[ 1.3750]],

         [[ 0.6596]],

         [[ 0.4766]],

         [[-1.0163]],

         [[ 0.6104]],

         [[ 0.4669]],

         [[ 1.9507]],

         [[-1.0631]],

         [[ 1.1404]],

         [[-0.0899]],

         [[ 0.7298]],

         [[-1.8453]],

         [[-0.1021]],

         [[-1.0335]],

         [[-0.3126]],

         [[ 0.2458]],

         [[ 0.3772]],

         [[ 1.1012]],

         [[-1.1428]],

         [[ 0.0376]],

         [[ 0.2886]],

         [[ 0.3866]],

         [[-0.2011]],

         [[-0.1179]],

         [[-0.8294]],

         [[-1.4073]],

         [[ 1.6268]],

         [[ 0.1723]],

         [[-0.7043]],

         [[ 0.3147]],

         [[ 0.1574]],

         [[ 0.3854]],

         [[ 0.5737]],

         [[ 0.9979]],

         [[ 0.5436]],

         [[ 0.0788]],

         [[ 0.9985]],

         [[-0.4987]],

         [[ 0.7611]],

         [[ 0.6183]],

         [[-0.2994]],

         [[-0.1878]],

         [[ 1.9159]],

         [[ 0.6902]],

         [[-0.3140]],

         [[-1.0787]],

         [[ 0.2408]],

         [[-1.3962]],

         [[ 0.1136]],

         [[ 1.1047]],

         [[-1.3952]],

         [[ 0.4751]],

         [[ 1.0811]],

         [[ 0.1315]],

         [[ 1.5735]],

         [[ 0.7814]],

         [[ 0.9874]],

         [[-1.4878]],

         [[ 0.5867]],

         [[ 0.1583]],

         [[ 0.6668]],

         [[-0.9944]],

         [[-1.1894]],

         [[-1.1959]],

         [[ 1.3119]],

         [[-0.2098]],

         [[ 0.7817]],

         [[ 0.9897]],

         [[ 0.1715]],

         [[ 0.8760]],

         [[-0.2871]],

         [[ 1.0216]],

         [[ 0.4386]],

         [[-0.0107]],

         [[ 1.3384]],

         [[-0.2794]],

         [[-0.5518]],

         [[-2.8891]],

         [[-1.5100]],

         [[ 1.0241]],

         [[ 0.1954]],

         [[-0.7371]],

         [[ 1.7001]],

         [[ 0.3462]],

         [[ 0.9711]],

         [[ 1.4503]],

         [[-0.0519]],

         [[-0.6284]]]])",0.25,536.8977963340003
"tensor([[[[ 0.9625]],

         [[ 0.3492]],

         [[-0.9215]],

         [[-0.0562]],

         [[-0.7015]],

         [[ 1.0367]],

         [[-0.6037]],

         [[-1.2788]],

         [[ 0.1239]],

         [[ 1.1648]],

         [[ 0.9234]],

         [[ 1.3873]],

         [[ 1.3750]],

         [[ 0.6596]],

         [[ 0.4766]],

         [[-1.0163]],

         [[ 0.6104]],

         [[ 0.4669]],

         [[ 1.9507]],

         [[-1.0631]],

         [[ 1.1404]],

         [[-0.0899]],

         [[ 0.7298]],

         [[-1.8453]],

         [[-0.1021]],

         [[-1.0335]],

         [[-0.3126]],

         [[ 0.2458]],

         [[ 0.3772]],

         [[ 1.1012]],

         [[-1.1428]],

         [[ 0.0376]],

         [[ 0.2886]],

         [[ 0.3866]],

         [[-0.2011]],

         [[-0.1179]],

         [[-0.8294]],

         [[-1.4073]],

         [[ 1.6268]],

         [[ 0.1723]],

         [[-0.7043]],

         [[ 0.3147]],

         [[ 0.1574]],

         [[ 0.3854]],

         [[ 0.5737]],

         [[ 0.9979]],

         [[ 0.5436]],

         [[ 0.0788]],

         [[ 0.9985]],

         [[-0.4987]],

         [[ 0.7611]],

         [[ 0.6183]],

         [[-0.2994]],

         [[-0.1878]],

         [[ 1.9159]],

         [[ 0.6902]],

         [[-0.3140]],

         [[-1.0787]],

         [[ 0.2408]],

         [[-1.3962]],

         [[ 0.1136]],

         [[ 1.1047]],

         [[-1.3952]],

         [[ 0.4751]],

         [[ 1.0811]],

         [[ 0.1315]],

         [[ 1.5735]],

         [[ 0.7814]],

         [[ 0.9874]],

         [[-1.4878]],

         [[ 0.5867]],

         [[ 0.1583]],

         [[ 0.6668]],

         [[-0.9944]],

         [[-1.1894]],

         [[-1.1959]],

         [[ 1.3119]],

         [[-0.2098]],

         [[ 0.7817]],

         [[ 0.9897]],

         [[ 0.1715]],

         [[ 0.8760]],

         [[-0.2871]],

         [[ 1.0216]],

         [[ 0.4386]],

         [[-0.0107]],

         [[ 1.3384]],

         [[-0.2794]],

         [[-0.5518]],

         [[-2.8891]],

         [[-1.5100]],

         [[ 1.0241]],

         [[ 0.1954]],

         [[-0.7371]],

         [[ 1.7001]],

         [[ 0.3462]],

         [[ 0.9711]],

         [[ 1.4503]],

         [[-0.0519]],

         [[-0.6284]]]])",0.5,530.7641930799982
"tensor([[[[ 0.9625]],

         [[ 0.3492]],

         [[-0.9215]],

         [[-0.0562]],

         [[-0.7015]],

         [[ 1.0367]],

         [[-0.6037]],

         [[-1.2788]],

         [[ 0.1239]],

         [[ 1.1648]],

         [[ 0.9234]],

         [[ 1.3873]],

         [[ 1.3750]],

         [[ 0.6596]],

         [[ 0.4766]],

         [[-1.0163]],

         [[ 0.6104]],

         [[ 0.4669]],

         [[ 1.9507]],

         [[-1.0631]],

         [[ 1.1404]],

         [[-0.0899]],

         [[ 0.7298]],

         [[-1.8453]],

         [[-0.1021]],

         [[-1.0335]],

         [[-0.3126]],

         [[ 0.2458]],

         [[ 0.3772]],

         [[ 1.1012]],

         [[-1.1428]],

         [[ 0.0376]],

         [[ 0.2886]],

         [[ 0.3866]],

         [[-0.2011]],

         [[-0.1179]],

         [[-0.8294]],

         [[-1.4073]],

         [[ 1.6268]],

         [[ 0.1723]],

         [[-0.7043]],

         [[ 0.3147]],

         [[ 0.1574]],

         [[ 0.3854]],

         [[ 0.5737]],

         [[ 0.9979]],

         [[ 0.5436]],

         [[ 0.0788]],

         [[ 0.9985]],

         [[-0.4987]],

         [[ 0.7611]],

         [[ 0.6183]],

         [[-0.2994]],

         [[-0.1878]],

         [[ 1.9159]],

         [[ 0.6902]],

         [[-0.3140]],

         [[-1.0787]],

         [[ 0.2408]],

         [[-1.3962]],

         [[ 0.1136]],

         [[ 1.1047]],

         [[-1.3952]],

         [[ 0.4751]],

         [[ 1.0811]],

         [[ 0.1315]],

         [[ 1.5735]],

         [[ 0.7814]],

         [[ 0.9874]],

         [[-1.4878]],

         [[ 0.5867]],

         [[ 0.1583]],

         [[ 0.6668]],

         [[-0.9944]],

         [[-1.1894]],

         [[-1.1959]],

         [[ 1.3119]],

         [[-0.2098]],

         [[ 0.7817]],

         [[ 0.9897]],

         [[ 0.1715]],

         [[ 0.8760]],

         [[-0.2871]],

         [[ 1.0216]],

         [[ 0.4386]],

         [[-0.0107]],

         [[ 1.3384]],

         [[-0.2794]],

         [[-0.5518]],

         [[-2.8891]],

         [[-1.5100]],

         [[ 1.0241]],

         [[ 0.1954]],

         [[-0.7371]],

         [[ 1.7001]],

         [[ 0.3462]],

         [[ 0.9711]],

         [[ 1.4503]],

         [[-0.0519]],

         [[-0.6284]]]])",0.75,536.3057999490011
"tensor([[[[-6.5380e-01]],

         [[ 1.7198e+00]],

         [[-9.6096e-01]],

         [[-6.3750e-01]],

         [[ 7.4725e-02]],

         [[ 5.5997e-01]],

         [[ 5.3140e-01]],

         [[ 1.2351e+00]],

         [[-1.1070e+00]],

         [[-1.7174e+00]],

         [[ 1.5346e+00]],

         [[-3.2062e-03]],

         [[-1.6034e+00]],

         [[ 5.8098e-02]],

         [[-6.3025e-01]],

         [[ 7.4664e-01]],

         [[ 1.1887e+00]],

         [[-1.5751e-01]],

         [[-4.5539e-02]],

         [[ 6.4847e-01]],

         [[ 5.2389e-01]],

         [[ 2.1805e-01]],

         [[ 6.2524e-02]],

         [[ 6.4810e-01]],

         [[ 3.3064e-02]],

         [[-1.0234e+00]],

         [[ 7.3351e-01]],

         [[ 1.1177e+00]],

         [[ 2.1494e+00]],

         [[-9.0878e-01]],

         [[-6.7103e-01]],

         [[-5.8041e-01]],

         [[ 1.4903e+00]],

         [[-7.0053e-01]],

         [[ 1.8056e-01]],

         [[ 1.3615e+00]],

         [[ 2.0372e+00]],

         [[ 6.4304e-01]],

         [[-7.3257e-01]],

         [[-4.8771e-01]],

         [[ 2.5783e-01]],

         [[-5.6502e-01]],

         [[ 9.2781e-01]],

         [[ 4.8258e-01]],

         [[-8.2979e-01]],

         [[ 1.2678e+00]],

         [[ 2.7356e-01]],

         [[-6.1465e-01]],

         [[-9.0688e-01]],

         [[-5.9184e-01]],

         [[ 1.5078e-01]],

         [[-1.0411e+00]],

         [[-7.2053e-01]],

         [[-2.2148e+00]],

         [[-6.8373e-01]],

         [[ 5.1636e-01]],

         [[ 7.9285e-01]],

         [[ 8.3228e-02]],

         [[ 4.2280e-01]],

         [[-1.8687e+00]],

         [[-1.1057e+00]],

         [[ 1.4373e-01]],

         [[ 5.8360e-01]],

         [[ 1.3482e+00]],

         [[-1.5771e+00]],

         [[ 3.6093e-01]],

         [[-1.3533e+00]],

         [[-2.0710e-01]],

         [[-2.4876e-01]],

         [[-1.2320e+00]],

         [[ 6.2567e-01]],

         [[-1.2231e+00]],

         [[-1.1187e+00]],

         [[ 3.7838e-01]],

         [[-7.8038e-01]],

         [[-8.7388e-01]],

         [[-7.3280e-01]],

         [[ 5.1430e-01]],

         [[ 3.9765e-01]],

         [[ 6.4346e-01]],

         [[-1.4453e+00]],

         [[-8.0777e-01]],

         [[ 1.1975e+00]],

         [[-1.8345e+00]],

         [[-2.7575e+00]],

         [[-8.3236e-01]],

         [[ 4.8999e-01]],

         [[ 2.9082e-01]],

         [[ 6.4423e-01]],

         [[ 3.9300e+00]],

         [[-1.2442e-01]],

         [[ 2.9534e-01]],

         [[ 2.4197e+00]],

         [[ 1.6456e+00]],

         [[-3.0869e-01]],

         [[-1.5147e+00]],

         [[ 1.9457e+00]],

         [[-1.2904e+00]],

         [[-2.3495e+00]],

         [[-2.0689e+00]]]])",0.25,539.1180887320006
"tensor([[[[-6.5380e-01]],

         [[ 1.7198e+00]],

         [[-9.6096e-01]],

         [[-6.3750e-01]],

         [[ 7.4725e-02]],

         [[ 5.5997e-01]],

         [[ 5.3140e-01]],

         [[ 1.2351e+00]],

         [[-1.1070e+00]],

         [[-1.7174e+00]],

         [[ 1.5346e+00]],

         [[-3.2062e-03]],

         [[-1.6034e+00]],

         [[ 5.8098e-02]],

         [[-6.3025e-01]],

         [[ 7.4664e-01]],

         [[ 1.1887e+00]],

         [[-1.5751e-01]],

         [[-4.5539e-02]],

         [[ 6.4847e-01]],

         [[ 5.2389e-01]],

         [[ 2.1805e-01]],

         [[ 6.2524e-02]],

         [[ 6.4810e-01]],

         [[ 3.3064e-02]],

         [[-1.0234e+00]],

         [[ 7.3351e-01]],

         [[ 1.1177e+00]],

         [[ 2.1494e+00]],

         [[-9.0878e-01]],

         [[-6.7103e-01]],

         [[-5.8041e-01]],

         [[ 1.4903e+00]],

         [[-7.0053e-01]],

         [[ 1.8056e-01]],

         [[ 1.3615e+00]],

         [[ 2.0372e+00]],

         [[ 6.4304e-01]],

         [[-7.3257e-01]],

         [[-4.8771e-01]],

         [[ 2.5783e-01]],

         [[-5.6502e-01]],

         [[ 9.2781e-01]],

         [[ 4.8258e-01]],

         [[-8.2979e-01]],

         [[ 1.2678e+00]],

         [[ 2.7356e-01]],

         [[-6.1465e-01]],

         [[-9.0688e-01]],

         [[-5.9184e-01]],

         [[ 1.5078e-01]],

         [[-1.0411e+00]],

         [[-7.2053e-01]],

         [[-2.2148e+00]],

         [[-6.8373e-01]],

         [[ 5.1636e-01]],

         [[ 7.9285e-01]],

         [[ 8.3228e-02]],

         [[ 4.2280e-01]],

         [[-1.8687e+00]],

         [[-1.1057e+00]],

         [[ 1.4373e-01]],

         [[ 5.8360e-01]],

         [[ 1.3482e+00]],

         [[-1.5771e+00]],

         [[ 3.6093e-01]],

         [[-1.3533e+00]],

         [[-2.0710e-01]],

         [[-2.4876e-01]],

         [[-1.2320e+00]],

         [[ 6.2567e-01]],

         [[-1.2231e+00]],

         [[-1.1187e+00]],

         [[ 3.7838e-01]],

         [[-7.8038e-01]],

         [[-8.7388e-01]],

         [[-7.3280e-01]],

         [[ 5.1430e-01]],

         [[ 3.9765e-01]],

         [[ 6.4346e-01]],

         [[-1.4453e+00]],

         [[-8.0777e-01]],

         [[ 1.1975e+00]],

         [[-1.8345e+00]],

         [[-2.7575e+00]],

         [[-8.3236e-01]],

         [[ 4.8999e-01]],

         [[ 2.9082e-01]],

         [[ 6.4423e-01]],

         [[ 3.9300e+00]],

         [[-1.2442e-01]],

         [[ 2.9534e-01]],

         [[ 2.4197e+00]],

         [[ 1.6456e+00]],

         [[-3.0869e-01]],

         [[-1.5147e+00]],

         [[ 1.9457e+00]],

         [[-1.2904e+00]],

         [[-2.3495e+00]],

         [[-2.0689e+00]]]])",0.5,525.6533668209995
"tensor([[[[-6.5380e-01]],

         [[ 1.7198e+00]],

         [[-9.6096e-01]],

         [[-6.3750e-01]],

         [[ 7.4725e-02]],

         [[ 5.5997e-01]],

         [[ 5.3140e-01]],

         [[ 1.2351e+00]],

         [[-1.1070e+00]],

         [[-1.7174e+00]],

         [[ 1.5346e+00]],

         [[-3.2062e-03]],

         [[-1.6034e+00]],

         [[ 5.8098e-02]],

         [[-6.3025e-01]],

         [[ 7.4664e-01]],

         [[ 1.1887e+00]],

         [[-1.5751e-01]],

         [[-4.5539e-02]],

         [[ 6.4847e-01]],

         [[ 5.2389e-01]],

         [[ 2.1805e-01]],

         [[ 6.2524e-02]],

         [[ 6.4810e-01]],

         [[ 3.3064e-02]],

         [[-1.0234e+00]],

         [[ 7.3351e-01]],

         [[ 1.1177e+00]],

         [[ 2.1494e+00]],

         [[-9.0878e-01]],

         [[-6.7103e-01]],

         [[-5.8041e-01]],

         [[ 1.4903e+00]],

         [[-7.0053e-01]],

         [[ 1.8056e-01]],

         [[ 1.3615e+00]],

         [[ 2.0372e+00]],

         [[ 6.4304e-01]],

         [[-7.3257e-01]],

         [[-4.8771e-01]],

         [[ 2.5783e-01]],

         [[-5.6502e-01]],

         [[ 9.2781e-01]],

         [[ 4.8258e-01]],

         [[-8.2979e-01]],

         [[ 1.2678e+00]],

         [[ 2.7356e-01]],

         [[-6.1465e-01]],

         [[-9.0688e-01]],

         [[-5.9184e-01]],

         [[ 1.5078e-01]],

         [[-1.0411e+00]],

         [[-7.2053e-01]],

         [[-2.2148e+00]],

         [[-6.8373e-01]],

         [[ 5.1636e-01]],

         [[ 7.9285e-01]],

         [[ 8.3228e-02]],

         [[ 4.2280e-01]],

         [[-1.8687e+00]],

         [[-1.1057e+00]],

         [[ 1.4373e-01]],

         [[ 5.8360e-01]],

         [[ 1.3482e+00]],

         [[-1.5771e+00]],

         [[ 3.6093e-01]],

         [[-1.3533e+00]],

         [[-2.0710e-01]],

         [[-2.4876e-01]],

         [[-1.2320e+00]],

         [[ 6.2567e-01]],

         [[-1.2231e+00]],

         [[-1.1187e+00]],

         [[ 3.7838e-01]],

         [[-7.8038e-01]],

         [[-8.7388e-01]],

         [[-7.3280e-01]],

         [[ 5.1430e-01]],

         [[ 3.9765e-01]],

         [[ 6.4346e-01]],

         [[-1.4453e+00]],

         [[-8.0777e-01]],

         [[ 1.1975e+00]],

         [[-1.8345e+00]],

         [[-2.7575e+00]],

         [[-8.3236e-01]],

         [[ 4.8999e-01]],

         [[ 2.9082e-01]],

         [[ 6.4423e-01]],

         [[ 3.9300e+00]],

         [[-1.2442e-01]],

         [[ 2.9534e-01]],

         [[ 2.4197e+00]],

         [[ 1.6456e+00]],

         [[-3.0869e-01]],

         [[-1.5147e+00]],

         [[ 1.9457e+00]],

         [[-1.2904e+00]],

         [[-2.3495e+00]],

         [[-2.0689e+00]]]])",0.75,533.1545389510011
"tensor([[[[-0.3099]],

         [[-0.0561]],

         [[ 0.5174]],

         [[-1.5962]],

         [[ 0.5411]],

         [[ 1.5390]],

         [[ 1.0860]],

         [[ 1.2464]],

         [[ 0.5631]],

         [[-1.4351]],

         [[ 0.7194]],

         [[-1.3707]],

         [[ 0.8732]],

         [[ 0.0651]],

         [[ 0.7732]],

         [[-0.9701]],

         [[ 1.2359]],

         [[-0.1002]],

         [[ 2.1364]],

         [[ 0.0700]],

         [[ 0.4990]],

         [[ 0.8780]],

         [[ 0.3894]],

         [[ 1.4625]],

         [[ 1.1901]],

         [[ 2.6352]],

         [[ 0.2284]],

         [[ 0.3241]],

         [[-0.3112]],

         [[-0.5620]],

         [[-0.4835]],

         [[-1.2721]],

         [[-1.0921]],

         [[-0.0611]],

         [[-1.4928]],

         [[-1.7644]],

         [[ 0.2942]],

         [[ 0.7973]],

         [[ 1.2642]],

         [[ 0.9355]],

         [[ 2.1432]],

         [[-0.9626]],

         [[-0.5636]],

         [[ 1.6446]],

         [[ 1.4502]],

         [[ 4.1015]],

         [[ 1.1182]],

         [[-1.5668]],

         [[-0.5550]],

         [[ 0.7867]],

         [[ 0.6816]],

         [[ 1.5178]],

         [[-0.7645]],

         [[ 0.2408]],

         [[ 0.1664]],

         [[-2.2318]],

         [[-1.8869]],

         [[ 0.7428]],

         [[-0.0925]],

         [[-1.4309]],

         [[ 1.6859]],

         [[-1.2177]],

         [[ 0.7650]],

         [[ 1.1971]],

         [[-2.2414]],

         [[ 0.4373]],

         [[-0.5554]],

         [[-0.0579]],

         [[-0.0118]],

         [[ 0.9797]],

         [[-1.0661]],

         [[ 1.7720]],

         [[-0.3806]],

         [[ 1.1311]],

         [[-0.0902]],

         [[-0.8979]],

         [[-0.9518]],

         [[ 0.2715]],

         [[ 0.6716]],

         [[ 1.8500]],

         [[-0.6360]],

         [[ 1.1082]],

         [[-0.0056]],

         [[ 1.4585]],

         [[-1.1991]],

         [[-0.0257]],

         [[ 1.8024]],

         [[-1.0597]],

         [[ 3.4028]],

         [[-0.5687]],

         [[-0.4755]],

         [[ 1.7432]],

         [[-0.2044]],

         [[-0.3164]],

         [[ 1.2937]],

         [[ 1.3453]],

         [[ 0.1939]],

         [[ 1.5717]],

         [[-0.3827]],

         [[ 1.3951]]]])",0.25,533.9867034520012
